date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:56:16	45/45	---M-Z	200	added ('OK')	text/plain	date:Sat,%2024%20Jun%202023%2008:56:15%20GMT	https://hafsa-software.webflow.io/robots.txt		(from )
08:56:17	56983/56983	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:16%20GMT	https://hafsa-software.webflow.io/	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/index.html	(from )
08:56:19	116715/116715	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:17%20GMT	https://hafsa-software.webflow.io/webflow-introduction	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/webflow-introduction.html	(from https://hafsa-software.webflow.io/)
08:56:19	21278/21278	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:19%20GMT	https://hafsa-software.webflow.io/web-theme-design	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/web-theme-design.html	(from https://hafsa-software.webflow.io/)
08:56:20	21307/21307	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:20%20GMT	https://hafsa-software.webflow.io/e-commerce-site-service	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/e-commerce-site-service.html	(from https://hafsa-software.webflow.io/)
08:56:21	21568/21568	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:21%20GMT	https://hafsa-software.webflow.io/mobile-application-software-service	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/mobile-application-software-service.html	(from https://hafsa-software.webflow.io/)
08:56:22	21258/21258	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:22%20GMT	https://hafsa-software.webflow.io/corporate-web-design	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/corporate-web-design.html	(from https://hafsa-software.webflow.io/)
08:56:23	21821/21821	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:23%20GMT	https://hafsa-software.webflow.io/google-ads-advertising-management	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/google-ads-advertising-management.html	(from https://hafsa-software.webflow.io/)
08:56:24	21038/21038	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:24%20GMT	https://hafsa-software.webflow.io/web-consulting-service	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/web-consulting-service.html	(from https://hafsa-software.webflow.io/)
08:56:25	20709/20709	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:25%20GMT	https://hafsa-software.webflow.io/landing-page-optimizations	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/landing-page-optimizations.html	(from https://hafsa-software.webflow.io/)
08:56:26	19977/19977	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:26%20GMT	https://hafsa-software.webflow.io/search-engine-optimization	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/search-engine-optimization.html	(from https://hafsa-software.webflow.io/)
08:56:27	108011/108011	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:27%20GMT	https://hafsa-software.webflow.io/our-project	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/our-project.html	(from https://hafsa-software.webflow.io/)
08:56:28	23082/23082	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:28%20GMT	https://hafsa-software.webflow.io/team	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/team.html	(from https://hafsa-software.webflow.io/)
08:56:29	100279/100279	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:29%20GMT	https://hafsa-software.webflow.io/blog	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/blog.html	(from https://hafsa-software.webflow.io/)
08:56:30	24426/24426	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:30%20GMT	https://hafsa-software.webflow.io/about-us	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/about-us.html	(from https://hafsa-software.webflow.io/)
08:56:31	20612/20612	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2008:56:31%20GMT	https://hafsa-software.webflow.io/contact-us	/home/ubuntu/clone/sites/hafsa.de/website_clone/hafsa-software.webflow.io/contact-us.html	(from https://hafsa-software.webflow.io/)
